,ligand_name,sequence_id,label
139,147,168,0
140,150,171,0
141,151,172,0
142,152,173,0
143,153,174,0
144,154,175,0
145,155,177,0
146,156,178,0
147,55,179,0
148,158,181,0
149,160,183,0
150,161,184,1
151,149,185,0
152,163,187,0
153,164,188,0
154,165,189,1
155,166,190,1
156,167,191,0
157,168,192,1
158,169,193,0
159,171,195,0
160,172,196,0
161,173,197,0
162,174,198,0
163,175,199,1
164,176,201,1
165,177,202,0
166,178,203,0
167,179,204,1
168,182,207,0
169,183,209,1
170,189,215,0
171,190,216,1
172,108,217,0
173,192,209,1
174,194,220,0
175,195,221,0
176,196,222,0
177,197,223,0
178,7,224,1
179,198,225,0
180,29,226,1
181,199,227,0
182,200,228,0
183,201,229,0
184,202,230,1
185,130,231,1
186,203,234,0
187,204,235,0
188,205,236,1
189,206,237,0
190,167,238,0
191,207,239,0
192,208,240,1
193,100,241,0
194,209,242,0
195,210,243,1
196,211,244,1
197,212,245,0
198,73,246,0
199,213,247,1
200,214,248,0
201,182,249,1
202,215,250,0
203,216,251,1
204,218,253,1
205,219,254,0
206,220,255,0
207,135,256,0
208,125,257,0
209,222,260,1
210,223,261,0
211,224,262,0
212,225,263,0
213,226,265,0
214,227,266,0
215,41,267,1
216,228,268,0
217,113,269,0
218,112,270,1
219,229,271,0
220,230,272,0
221,231,273,0
222,180,275,1
223,232,276,0
224,233,277,0
225,23,278,0
226,234,279,0
227,235,280,0
228,137,281,0
229,236,282,1
230,237,283,1
231,142,284,1
232,239,286,1
233,155,287,1
234,109,288,1
235,240,289,0
236,242,291,0
237,243,292,1
238,245,294,0
239,179,295,1
240,241,296,1
241,196,297,1
242,246,298,0
243,247,299,0
244,248,300,1
245,249,301,0
246,69,303,0
247,251,304,1
248,253,306,0
249,255,308,0
250,256,309,0
251,257,310,1
252,75,312,1
253,259,315,0
254,260,316,1
255,261,317,0
256,262,318,0
257,263,319,0
258,264,320,0
259,265,321,1
260,266,322,0
261,130,323,0
262,267,324,1
263,269,326,1
264,270,327,1
265,101,329,0
266,132,331,1
267,193,332,1
268,206,336,0
269,274,337,0
270,275,338,1
271,166,339,0
272,239,340,0
273,276,341,0
274,277,342,1
275,278,343,0
276,97,344,0
277,280,346,0
278,281,347,0
279,127,348,0
280,108,350,1
281,282,351,0
282,152,352,1
283,283,353,0
284,285,355,0
285,286,356,0
286,83,358,0
287,56,359,0
288,257,361,0
289,183,363,0
290,290,365,0
291,77,367,0
292,292,368,0
293,294,370,1
294,235,371,0
295,296,373,1
296,178,374,1
297,198,375,1
298,104,376,0
299,297,209,1
300,73,377,1
301,298,378,0
302,299,379,0
303,152,380,0
304,288,381,1
305,81,384,1
306,302,385,0
307,64,388,0
308,303,389,1
309,127,390,0
310,212,391,0
311,304,392,0
312,305,393,1
313,306,394,0
314,307,395,0
315,308,396,1
316,119,397,1
317,309,398,0
318,310,399,1
319,311,400,0
320,89,401,0
321,312,402,0
322,87,403,0
323,80,404,0
324,149,405,1
325,117,407,0
326,157,408,0
327,314,409,1
328,127,411,0
329,316,412,0
330,317,413,0
331,318,414,0
332,319,415,0
333,320,416,0
334,321,417,0
335,204,418,0
336,322,419,1
337,201,420,1
338,323,421,0
339,324,422,0
340,325,424,0
341,326,425,1
342,322,78,1
343,328,427,0
344,329,428,0
345,323,429,0
346,330,430,0
347,122,431,1
348,332,433,1
349,333,434,1
350,334,435,1
351,274,436,0
352,131,437,0
353,301,438,0
354,335,439,0
355,336,440,0
356,134,441,0
357,337,442,1
358,338,443,0
359,340,445,0
360,117,448,0
361,287,452,0
362,120,453,0
363,343,454,0
364,344,455,0
365,105,457,1
366,67,458,0
367,270,460,1
368,133,461,0
369,102,462,0
370,347,463,1
371,66,464,1
372,31,465,0
373,348,466,0
374,254,467,0
375,319,468,1
376,349,469,0
377,350,470,1
378,351,471,0
379,353,474,0
380,21,475,1
381,354,476,0
382,355,477,1
383,108,478,0
384,357,480,1
385,358,481,1
386,359,482,1
387,302,484,1
388,360,485,0
389,234,486,1
390,362,488,0
391,38,489,0
392,85,491,0
393,363,492,1
394,89,493,1
395,364,494,0
396,128,495,1
397,96,496,1
398,365,497,0
399,93,498,0
400,366,499,1
401,367,500,0
402,368,501,0
403,369,502,1
404,370,503,0
405,371,504,0
406,372,505,1
407,305,507,0
408,192,508,0
409,373,509,0
410,374,510,1
411,345,511,0
412,375,512,1
413,155,513,0
414,377,516,0
415,378,517,0
416,295,519,1
417,379,520,0
418,82,521,1
419,81,522,0
420,284,523,0
421,340,524,1
422,380,525,0
423,109,526,0
424,381,527,0
425,5,528,1
426,382,529,0
427,367,531,1
428,76,532,1
429,226,352,1
430,336,533,0
431,384,535,0
432,385,536,1
433,386,537,1
434,387,538,1
435,382,539,0
436,182,540,0
437,22,542,0
438,324,543,0
439,388,544,0
440,382,545,0
441,308,546,0
442,99,547,1
443,389,548,1
444,394,556,0
445,395,557,0
446,99,560,1
447,396,561,1
448,397,562,0
449,398,563,1
450,399,564,0
451,400,565,1
452,201,568,1
453,300,569,1
454,70,570,0
455,363,571,1
456,214,572,1
457,168,573,0
458,31,574,0
459,402,577,0
460,128,578,0
461,332,579,1
462,403,580,1
463,363,581,1
464,130,582,0
465,389,583,1
466,106,584,1
467,240,585,1
468,81,586,0
469,383,587,1
470,404,588,0
471,406,590,1
472,269,591,0
473,262,592,1
474,407,594,1
475,151,595,1
476,59,596,0
477,188,597,1
478,45,598,1
479,408,599,1
480,303,601,1
481,194,602,1
482,409,603,1
483,410,604,0
484,386,605,0
485,257,606,1
486,411,607,0
487,370,608,0
488,413,610,1
489,414,611,1
490,164,612,0
491,415,613,1
492,416,615,0
493,417,616,0
494,256,617,0
495,420,620,1
496,266,622,0
497,421,623,0
498,273,624,0
499,287,625,0
500,202,626,0
501,422,627,0
502,144,628,0
503,423,629,0
504,424,630,1
505,425,631,0
506,427,633,0
507,428,634,1
508,199,635,0
509,429,636,0
510,430,637,0
511,333,638,0
512,390,639,1
513,431,640,0
514,281,642,0
515,30,643,0
516,433,644,0
517,362,646,0
518,373,647,1
519,146,648,0
520,154,650,0
521,436,651,0
522,67,653,1
523,437,654,0
524,143,655,0
525,370,656,1
526,245,657,1
527,300,659,1
528,317,661,1
529,50,662,0
530,167,663,1
531,214,664,0
532,354,665,0
533,400,666,1
534,428,667,1
535,25,668,0
536,136,669,0
537,438,671,1
538,50,672,1
539,61,673,1
540,377,674,1
541,439,675,1
542,119,677,0
543,375,678,1
544,219,679,0
545,440,680,1
546,398,681,1
547,441,682,0
548,442,683,1
549,443,684,0
550,247,685,0
551,445,687,1
552,50,688,0
553,14,689,0
554,331,692,0
555,90,693,0
556,266,694,1
557,113,696,0
558,151,697,1
559,444,698,0
560,446,699,1
561,114,700,0
562,5,701,1
563,447,702,0
564,172,703,0
565,96,704,1
566,386,705,0
567,392,706,1
568,448,707,1
569,102,708,0
570,449,709,0
571,398,711,0
572,349,712,0
573,96,713,1
574,339,714,1
575,451,715,1
576,353,719,1
577,140,720,1
578,453,721,0
579,454,722,0
580,455,723,0
581,456,726,1
582,457,727,0
583,458,728,0
584,459,730,1
585,134,731,0
586,460,732,1
587,257,733,1
588,461,734,0
589,64,735,1
590,462,736,1
591,259,737,0
592,201,739,1
593,48,740,0
594,53,741,1
595,464,742,0
596,465,744,0
597,347,746,1
598,466,747,0
599,468,749,0
600,143,750,1
601,469,751,0
602,470,752,0
603,206,753,0
604,471,754,0
605,472,756,0
606,51,757,1
607,473,758,0
608,270,759,1
609,474,760,1
610,238,761,1
611,161,763,1
612,384,764,0
613,167,765,1
614,476,766,0
615,336,767,1
616,186,768,0
617,4,771,0
618,195,772,1
619,37,773,0
620,478,774,1
621,479,775,0
622,362,776,1
623,480,777,0
624,378,778,0
625,136,779,1
626,222,780,0
627,124,781,0
628,49,784,1
629,481,785,0
630,482,786,0
631,187,787,1
632,20,788,0
633,483,789,0
634,267,790,0
635,484,792,0
636,485,793,0
637,213,794,1
638,486,585,1
639,84,795,0
640,487,796,0
641,489,798,0
642,490,800,0
643,190,801,0
644,117,802,0
645,491,803,0
646,166,804,0
647,492,806,1
648,381,808,0
649,202,809,1
650,494,810,0
651,227,813,0
652,236,814,0
653,496,815,0
654,170,816,0
655,318,817,1
656,178,819,1
657,496,822,0
658,498,823,0
659,500,826,0
660,502,828,1
661,142,829,1
662,306,831,1
663,185,832,1
664,503,833,0
665,119,834,1
666,317,835,1
667,182,836,1
668,168,837,0
669,505,839,1
670,506,419,1
671,507,841,0
672,55,842,0
673,509,844,1
674,266,845,1
675,10,846,1
676,383,847,1
677,510,848,0
678,511,850,0
679,282,223,0
680,499,852,1
681,24,708,0
682,512,853,0
683,513,854,0
684,514,855,1
685,515,857,1
686,154,858,0
687,516,859,0
688,517,860,0
689,403,861,1
690,284,862,1
691,518,865,0
692,108,866,1
693,481,867,1
694,519,869,1
695,304,870,1
696,87,871,0
697,446,872,0
698,89,198,0
699,521,874,1
700,522,875,0
701,319,876,0
702,481,877,0
703,523,878,1
704,524,879,0
705,525,880,0
706,375,881,1
707,246,882,0
708,244,883,0
709,397,884,0
710,5,885,0
711,526,886,0
712,527,887,1
713,263,888,0
714,528,889,0
715,529,890,0
716,346,891,1
717,530,892,0
718,531,894,0
719,532,895,0
720,25,898,0
721,132,899,1
722,186,900,1
723,533,901,0
724,534,902,0
725,58,905,0
726,291,907,0
727,433,908,0
728,336,909,1
729,430,910,1
730,250,911,0
731,241,913,0
732,537,915,0
733,364,916,1
734,192,917,0
735,477,918,1
736,538,920,1
737,192,921,0
738,539,922,1
739,4,923,1
740,411,924,0
741,122,925,1
742,540,928,0
743,506,929,0
744,173,930,0
745,143,198,0
746,541,931,0
747,236,932,0
748,542,933,0
749,392,708,0
750,509,934,1
751,544,936,0
752,11,938,1
753,545,939,0
754,107,940,0
755,16,941,0
756,546,942,1
757,483,943,1
758,547,944,0
759,548,945,0
760,316,946,1
761,549,947,0
762,550,948,1
763,551,949,1
764,552,950,0
765,553,951,0
766,8,952,0
767,554,953,0
768,555,955,0
769,556,956,1
770,140,957,1
771,493,958,0
772,176,959,0
773,557,960,0
774,558,962,0
775,299,963,0
776,497,964,1
777,391,965,0
778,444,966,0
779,443,967,0
780,460,968,0
781,519,969,0
782,25,971,1
783,560,972,0
784,459,973,1
785,14,975,1
786,456,976,0
787,538,709,0
788,561,978,0
789,529,979,0
790,562,980,0
791,563,981,0
792,565,983,0
793,568,987,1
794,5,988,0
795,559,989,1
796,569,990,0
797,456,991,1
798,235,992,0
799,143,993,1
800,570,994,0
801,539,995,0
802,362,996,0
803,571,997,0
804,122,998,1
805,376,1000,0
806,537,1001,1
807,162,1003,0
808,574,1004,1
809,333,1005,0
810,78,1006,1
811,19,1007,1
812,575,1008,0
813,576,1009,0
814,508,1010,0
815,560,1011,0
816,577,1012,0
817,14,1013,0
818,370,1014,0
819,578,1015,1
820,85,1016,0
821,293,1017,0
822,76,1019,0
823,373,1020,0
824,452,1021,0
825,150,1022,0
826,448,1023,0
827,21,1024,1
828,580,1026,1
829,581,1027,1
830,529,1028,0
831,419,1029,0
832,110,1031,0
833,584,1033,0
834,585,1034,0
835,445,1035,1
836,574,1038,0
837,587,1039,0
838,219,1040,0
839,588,1041,0
840,62,1042,1
841,244,1043,0
842,288,1045,0
843,95,1046,1
844,136,1047,0
845,567,1048,1
846,179,1049,1
847,513,1050,0
848,203,1051,0
849,42,1052,0
850,589,1053,0
851,331,1057,0
852,46,1058,0
853,182,1059,1
854,159,1060,0
855,407,1061,1
856,74,1062,1
857,263,1063,0
858,193,1064,0
859,591,1065,0
860,510,1066,0
861,413,1067,0
862,537,1068,1
863,283,1069,0
864,10,1070,0
865,311,1071,0
866,586,1072,0
867,431,1074,0
868,315,1075,1
869,308,1076,1
870,175,1077,1
871,318,1078,0
872,502,1079,0
873,185,1080,1
874,62,1081,0
875,592,1082,0
876,594,1084,0
877,248,1085,0
878,543,1086,0
879,35,1087,1
880,16,1088,1
881,596,1090,0
882,407,1091,1
883,196,1092,1
884,389,1093,1
885,95,1094,0
886,235,1095,0
887,597,209,1
888,280,1097,0
889,471,1098,0
890,517,1099,0
891,598,1101,0
892,541,1103,0
893,274,1105,0
894,501,1106,0
895,599,1107,0
896,135,1109,0
897,467,1111,0
898,417,1113,0
899,445,1114,0
900,475,1115,0
901,157,1116,1
902,600,1117,1
903,188,1119,0
904,201,1120,1
905,54,1123,0
906,394,1124,1
907,255,1125,0
908,280,1126,0
909,538,1127,1
910,602,1128,0
911,603,1130,1
912,138,1131,1
913,143,1132,0
914,604,1133,0
915,98,1134,1
916,389,1135,0
917,99,1137,0
918,351,1138,0
919,199,1139,0
920,580,1140,0
921,605,1141,1
922,370,1142,1
923,454,1143,0
924,550,1144,0
925,152,1145,0
926,606,1146,1
927,490,1147,1
928,450,1148,0
929,406,1149,0
930,215,1150,0
931,466,1152,0
932,246,1153,0
933,52,1154,0
934,275,1156,0
935,551,1157,1
936,469,1158,1
937,190,1159,1
938,440,1160,1
939,171,1161,0
940,607,1162,0
941,578,1163,1
942,193,1164,1
943,567,1165,0
944,239,1166,0
945,560,1167,0
946,231,1168,0
947,369,1169,1
948,88,674,1
949,311,1170,1
950,155,1171,1
951,151,1172,0
952,608,1173,0
953,525,1174,0
954,352,1175,0
955,575,1176,0
956,274,1177,1
957,609,1178,0
958,64,1179,0
959,587,1180,0
960,454,1181,1
961,124,1182,0
962,610,1183,0
963,611,1184,0
964,350,1185,0
965,180,1186,0
966,226,1187,0
967,374,1188,1
968,527,1189,1
969,612,1190,0
970,359,1191,0
971,613,1192,0
972,602,1194,0
973,614,1195,0
974,592,1196,0
975,605,1197,0
976,189,1198,1
977,370,1199,0
978,345,1200,1
979,302,1201,0
980,152,1202,0
981,569,1203,1
982,615,1206,0
983,616,1207,1
984,231,1208,0
985,465,1209,0
986,38,1210,0
987,508,1211,1
988,601,1213,0
989,116,1215,1
990,617,1216,1
991,618,1217,0
992,396,1218,0
993,62,1219,0
994,619,1220,0
995,83,1221,1
996,166,1223,1
997,621,1224,0
998,122,1225,1
999,105,1227,1
1000,211,1228,0
1001,326,1230,0
1002,280,1231,1
1003,206,1232,0
1004,145,1233,0
1005,548,1234,0
1006,623,1235,0
1007,240,1236,0
1008,113,1239,0
1009,222,1240,1
1010,306,1242,0
1011,393,1245,1
1012,346,1246,0
1013,615,1248,0
1014,377,1249,0
1015,467,1250,0
1016,629,1251,0
1017,630,1252,0
1018,404,1253,1
1019,627,1254,0
1020,592,1255,1
1021,242,1256,0
1022,390,1257,0
1023,104,1259,0
1024,146,1260,1
1025,631,1261,1
1026,176,1262,1
1027,75,1263,0
1028,151,1264,0
1029,320,480,1
1030,244,1265,1
1031,507,1266,0
1032,277,1267,1
1033,480,1268,0
1034,235,1270,0
1035,633,1272,1
1036,295,1273,1
1037,63,1274,1
1038,502,1275,0
1039,68,1276,0
1040,83,1277,0
1041,634,1279,0
1042,635,1280,0
1043,591,1281,0
1044,421,78,1
1045,636,1282,0
1046,402,1284,1
1047,343,1287,1
1048,294,1288,1
1049,637,1292,1
1050,266,1293,0
1051,252,1294,0
1052,165,1295,1
1053,638,1296,0
1054,639,1298,0
1055,84,1299,1
1056,159,1301,0
1057,534,1302,0
1058,464,1303,0
1059,43,1305,0
1060,464,1306,0
1061,640,1307,0
1062,641,1308,0
1063,497,1311,0
1064,202,1312,1
1065,642,1313,0
1066,643,1314,0
1067,415,1316,0
1068,645,1318,0
1069,598,1320,0
1070,174,1323,1
1071,21,1324,1
1072,59,1325,1
1073,646,1327,0
1074,648,1330,0
1075,649,1331,0
1076,477,1332,0
1077,397,1334,1
1078,463,1336,0
1079,419,1337,0
1080,200,1338,1
1081,313,1339,0
1082,617,1340,0
1083,505,1341,0
1084,650,1342,0
1085,607,1343,0
1086,108,1344,1
1087,219,1345,1
1088,312,1347,0
1089,651,1348,0
1090,652,1349,0
1091,578,1350,0
1092,624,1351,0
1093,308,1352,0
1094,653,1353,0
1095,639,1354,1
1096,169,1355,0
1097,429,1356,1
1098,110,1357,1
1099,73,1358,1
1100,654,1359,1
1101,386,1360,0
1102,223,1361,1
1103,127,1363,1
1104,539,1364,1
1105,655,1365,0
1106,656,1366,0
1107,454,1367,0
1108,312,1368,1
1109,136,1369,0
1110,637,1370,0
1111,318,1371,0
1112,305,165,1
1113,486,1374,0
1114,659,1375,0
1115,179,1376,1
1116,40,1379,0
1117,515,1380,1
1118,70,1382,1
1119,528,1383,1
1120,306,1385,0
1121,23,81,0
1122,660,1386,1
1123,661,1387,1
1124,244,1388,0
1125,99,1392,1
1126,53,1393,1
1127,261,1394,1
1128,320,1395,0
1129,583,1397,1
1130,662,948,1
1131,640,1400,0
1132,457,377,1
1133,663,1401,1
1134,258,1402,1
1135,317,1403,0
1136,635,1404,0
1137,465,1405,1
1138,395,1406,0
1139,641,1407,1
1140,633,1408,0
1141,183,1409,0
1142,78,1411,1
1143,470,1412,0
1144,21,1413,0
1145,68,480,1
1146,72,1414,0
1147,6,1415,0
1148,248,1416,0
1149,162,1417,1
1150,21,1418,0
1151,138,1419,0
1152,70,1423,1
1153,664,1424,0
1154,645,1425,1
1155,161,1426,1
1156,174,1427,1
1157,291,1428,0
1158,394,1429,0
1159,197,16,1
1160,210,1430,0
1161,651,1431,0
1162,583,1432,1
1163,28,1433,0
1164,619,1434,0
1165,298,1435,0
1166,355,1436,0
1167,630,1438,0
1168,201,1439,0
1169,598,1440,0
1170,586,1441,0
1171,665,1442,1
1172,465,1443,0
1173,666,1444,0
1174,422,1445,1
1175,667,1446,0
1176,316,1447,0
1177,306,1449,0
1178,15,1450,0
1179,525,1451,1
1180,454,1452,0
1181,668,1453,0
1182,526,1454,1
1183,453,1457,1
1184,305,1458,0
1185,669,1459,1
1186,284,1460,0
1187,511,1461,0
1188,117,1462,1
1189,20,1463,1
1190,27,1464,1
1191,391,1466,1
1192,236,1467,1
1193,181,1468,0
1194,111,1470,0
1195,586,1471,1
1196,36,1473,1
1197,448,1474,0
1198,405,1475,0
1199,455,1476,0
1200,578,1477,1
1201,644,1478,0
1202,302,1481,0
1203,328,1482,0
1204,257,1483,0
1205,566,1484,1
1206,429,1485,1
1207,70,1486,0
1208,416,1487,1
1209,350,1488,1
1210,504,1489,0
1211,671,192,1
1212,586,1491,0
1213,135,1492,1
1214,673,1493,1
1215,99,1497,1
1216,190,1498,1
1217,409,1499,0
1218,537,1500,0
1219,346,1501,0
1220,546,1502,1
1221,676,1504,0
1222,105,1505,0
1223,162,1506,1
1224,122,1507,0
1225,465,1508,0
1226,175,1509,0
1227,26,1510,1
1228,307,1511,0
1229,478,1512,1
1230,527,1513,0
1231,115,1514,1
1232,107,1515,0
1233,462,1516,0
1234,462,1517,1
1235,648,1518,0
1236,444,1519,0
1237,587,1520,0
1238,134,1521,0
1239,510,1524,0
1240,532,1525,0
1241,82,1526,1
1242,579,1527,0
1243,538,1528,0
1244,110,1529,0
1245,492,1530,1
1246,556,1531,0
1247,677,1532,0
1248,678,1533,0
1249,679,1534,0
1250,593,1535,0
1251,4,1536,1
1252,679,1537,0
1253,216,1540,1
1254,350,1541,0
1255,254,1542,0
1256,421,1543,0
1257,210,1546,1
1258,643,1548,0
1259,369,1549,0
1260,598,1550,1
1261,421,419,1
1262,432,1553,1
1263,190,1554,1
1264,556,1555,0
1265,492,1556,0
1266,592,1557,0
1267,680,1558,0
1268,395,1560,1
1269,86,1561,0
1270,157,1562,1
1271,682,1563,0
1272,614,1564,0
1273,138,1566,1
1274,70,1567,0
1275,19,1568,0
1276,75,1569,0
1277,80,78,1
1278,38,1571,0
1279,447,1572,1
1280,303,1573,1
1281,606,1574,1
1282,574,1575,1
1283,426,1576,0
1284,194,1578,1
1285,130,1580,1
1286,684,1582,0
1287,37,1583,0
1288,670,1584,1
1289,685,1585,0
1290,686,1586,1
1291,687,1587,0
1292,165,1588,0
1293,284,1589,1
1294,81,1590,0
1295,60,1591,0
1296,84,1592,1
1297,453,1593,0
1298,41,1594,0
1299,31,1595,1
1300,196,1596,0
1301,587,1598,0
1302,688,1599,0
1303,639,1601,0
1304,589,1602,0
1305,112,1603,0
1306,273,1604,0
1307,565,1605,0
1308,583,1606,0
1309,31,1608,0
1310,610,1609,0
1311,38,1170,1
1312,316,1610,0
1313,441,1611,0
1314,689,1612,1
1315,601,1613,1
1316,423,1614,1
1317,506,78,1
1318,437,1615,1
1319,486,1616,0
1320,12,1617,1
1321,483,1619,1
1322,690,1620,0
1323,514,1622,0
1324,691,1623,1
1325,408,1624,1
1326,151,1625,0
1327,636,1626,0
1328,542,141,1
1329,374,1627,1
1330,692,1628,0
1331,7,1630,0
1332,344,1631,1
1333,387,1632,0
1334,272,1633,1
1335,387,1634,1
1336,607,1635,0
1337,590,1636,0
1338,549,1637,0
1339,693,1638,0
1340,213,1639,0
1341,29,1640,0
1342,683,1642,0
1343,406,1643,0
1344,25,1644,1
1345,496,1645,0
1346,547,1646,0
1347,355,1647,0
1348,694,708,0
1349,660,1650,1
1350,44,1651,0
1351,536,1652,0
1352,413,1654,0
1353,11,1655,0
1354,627,1656,0
1355,293,1657,0
1356,555,1658,1
1357,695,1660,0
1358,267,1661,1
1359,696,1662,0
1360,447,1663,0
1361,676,1664,1
1362,697,1665,1
1363,698,1666,1
1364,662,1667,0
1365,330,1668,0
1366,259,1669,0
1367,297,1670,0
1368,263,1671,0
1369,341,1672,0
1370,272,1673,1
1371,295,1674,0
1372,222,1677,0
1373,564,1678,0
1374,71,1680,0
1375,483,1681,1
1376,633,1683,1
1377,41,1684,0
1378,32,1686,1
1379,552,1687,1
1380,699,1572,1
1381,568,1181,1
1382,246,1688,0
1383,314,1691,1
1384,185,1694,1
1385,92,1695,0
1386,376,1696,1
1387,461,1697,1
1388,677,1698,0
1389,175,1699,1
1390,600,1700,0
1391,132,1701,0
1392,621,1702,0
1393,549,1703,0
1394,454,1706,0
1395,179,1707,0
1396,449,209,1
1397,495,1711,1
1398,702,1712,0
1399,257,1713,1
1400,703,1714,0
1401,108,1715,0
1402,547,1718,0
1403,496,1719,0
1404,424,1720,1
1405,704,1721,0
1406,229,1722,0
1407,593,1723,0
1408,581,1724,1
1409,148,1726,1
1410,220,1727,0
1411,269,1728,0
1412,367,1729,0
1413,615,1730,0
1414,118,1731,0
1415,374,1732,0
1416,403,1733,1
1417,433,1735,1
1418,660,1736,0
1419,538,1737,0
1420,178,1738,1
1421,199,1739,0
1422,121,1740,1
1423,705,1741,1
1424,88,1743,0
1425,643,1744,0
1426,115,1745,1
1427,245,1746,0
1428,109,1747,1
1429,424,1748,0
1430,526,1749,1
1431,103,1750,0
1432,58,1751,1
1433,308,1752,0
1434,706,1753,1
1435,337,1754,1
1436,88,1755,0
1437,620,1756,0
1438,692,1757,1
1439,707,1758,1
1440,41,1759,0
1441,107,1760,1
1442,597,1761,0
1443,67,1762,1
1444,620,1763,0
1445,53,1764,1
1446,85,1765,0
1447,175,1766,1
1448,442,1767,1
1449,369,1768,1
1450,673,1769,0
1451,708,419,1
1452,369,1770,1
1453,702,1771,0
1454,339,1772,0
1455,358,1773,1
1456,257,1774,0
1457,665,1775,0
1458,84,1776,1
1459,181,1777,1
1460,709,1778,0
1461,256,1779,0
1462,242,708,0
1463,143,1780,1
1464,226,393,1
1465,505,1781,1
1466,673,1782,0
1467,8,209,1
1468,535,1783,0
1469,240,1785,0
1470,376,1786,1
1471,687,1787,0
1472,34,1788,1
1473,414,1789,1
1474,348,419,1
1475,491,1790,0
1476,600,1791,1
1477,324,1792,1
1478,434,1793,1
1479,478,1794,0
1480,147,1795,0
1481,467,1797,0
1482,429,1799,1
1483,668,1800,0
1484,530,1801,1
1485,285,1804,1
1486,631,1805,1
1487,390,1806,0
1488,469,1807,0
1489,219,1808,0
1490,340,1810,0
1491,424,1811,0
1492,337,1812,1
1493,615,1813,1
1494,711,1815,0
1495,375,1816,0
1496,530,1817,0
1497,113,1818,1
1498,81,1819,0
1499,392,1820,0
1500,333,1821,0
1501,342,1822,1
1502,68,1823,0
1503,590,1826,1
1504,60,1827,0
1505,611,1828,0
1506,583,1829,1
1507,347,1830,1
1508,712,1831,0
1509,601,1833,0
1510,73,1834,0
1511,356,1835,0
1512,584,1836,0
1513,713,1837,1
1514,391,1838,0
1515,317,1840,1
1516,48,1842,0
1517,31,1843,1
1518,715,1844,0
1519,631,1845,0
1520,716,1846,0
1521,360,1847,0
1522,251,1848,0
1523,161,1849,0
1524,370,1850,1
1525,699,1851,0
1526,114,1852,0
1527,569,1855,1
1528,354,1856,0
1529,717,1857,1
1530,387,1858,1
1531,484,1859,1
1532,36,1860,1
1533,508,1861,0
1534,400,1862,0
1535,516,1863,1
1536,518,1864,0
1537,389,1865,0
1538,452,1866,0
1539,432,1868,1
1540,88,1869,0
1541,425,1870,0
1542,274,1871,0
1543,34,1874,1
1544,657,1875,1
1545,213,1877,0
1546,120,1878,1
1547,75,1880,0
1548,358,1881,0
1549,399,1882,0
1550,679,1883,0
1551,431,1884,1
1552,64,1886,0
1553,314,1887,1
1554,523,1888,1
1555,718,1889,0
1556,252,1890,1
1557,719,1891,0
1558,645,1892,0
1559,656,1893,0
1560,535,1894,1
1561,132,1895,0
1562,518,1896,1
1563,676,1897,0
1564,46,1898,0
1565,95,1899,1
1566,681,1900,0
1567,120,1902,0
1568,183,1904,0
1569,349,1905,0
1570,113,1906,0
1571,502,1907,1
1572,391,1909,1
1573,321,1911,0
1574,720,1912,0
1575,307,1913,0
1576,491,1914,0
1577,308,1916,1
1578,721,1917,1
